Date,Sessions,Total Users,Screen Pageviews,Conversions,Event Count,User Engagement Duration
20230617,17,16,19,16,56,23
20230519,7,7,7,7,21,0
20231026,7,6,11,6,34,135
20230812,6,6,6,6,19,0
20230114,5,5,5,5,16,0
20230430,5,5,5,5,15,0
20230713,5,5,5,5,16,0
20231111,5,5,5,5,15,0
20231224,5,5,5,5,18,96
20230102,4,3,4,3,15,26
20230213,4,4,4,4,12,0
20230315,4,4,4,4,12,0
20230410,4,3,3,3,12,28
20230425,4,4,4,4,15,0
20230626,4,2,4,1,12,13
20230708,4,4,4,4,15,21
20230710,4,4,6,4,18,14
20230829,4,4,4,3,12,0
20230911,4,4,4,4,14,0
20230927,4,4,6,4,17,67
20231019,4,4,4,4,13,0
20231028,4,4,4,4,12,0
20231122,4,4,7,4,21,150
20231211,4,4,4,4,12,0
20230220,3,3,3,3,10,0
20230309,3,3,3,3,11,7
20230325,3,3,3,3,10,2
20230412,3,3,3,3,10,0
20230613,3,3,3,3,9,0
20230621,3,2,2,2,9,442
20230625,3,2,11,1,24,219
20230801,3,3,4,1,11,7
20230828,3,3,3,3,13,24
20230831,3,3,4,3,13,1
20230915,3,2,3,2,8,0
20230917,3,3,3,3,9,0
20231005,3,3,3,3,11,8
20231011,3,3,3,3,9,0
20231016,3,3,3,3,9,0
20231108,3,2,4,2,13,55
20231118,3,3,3,3,9,0
20231221,3,2,3,1,7,0
20230217,2,2,2,2,6,0
20230225,2,2,2,2,6,0
20230304,2,2,8,2,22,97
20230317,2,2,2,2,6,0
20230329,2,2,2,2,7,0
20230419,2,2,2,2,8,0
20230422,2,2,2,2,6,0
20230424,2,2,2,2,7,0
20230426,2,2,2,2,6,0
20230427,2,2,2,2,7,0
20230508,2,2,2,2,6,0
20230516,2,2,2,2,6,0
20230601,2,2,2,3,9,55
20230603,2,2,2,2,6,0
20230624,2,2,3,3,11,11
20230628,2,2,3,4,13,30
20230703,2,2,2,2,6,0
20230706,2,2,2,2,8,13
20230712,2,2,2,2,8,37
20230714,2,2,6,2,16,158
20230715,2,2,2,2,7,0
20230716,2,2,2,2,6,0
20230717,2,2,2,2,6,0
20230724,2,1,2,1,8,26
20230804,2,2,2,2,7,0
20230810,2,2,2,2,8,10
20230822,2,2,2,2,7,0
20230824,2,2,2,2,6,0
20230825,2,2,2,2,6,0
20230826,2,2,2,2,10,28
20230830,2,2,3,2,9,34
20230907,2,2,2,2,7,4
20230909,2,2,2,2,6,0
20230910,2,2,6,2,19,47
20230916,2,2,2,2,6,0
20230922,2,2,2,2,7,33
20230930,2,2,2,2,6,0
20231006,2,2,2,2,7,2
20231007,2,2,2,2,6,0
20231027,2,2,2,2,6,0
20231030,2,2,2,2,6,0
20231105,2,2,3,2,8,3
20231107,2,2,2,2,6,0
20231114,2,2,2,2,7,5
20231125,2,2,2,2,6,0
20231202,2,2,2,2,6,0
20231204,2,2,2,2,6,0
20231208,2,2,2,2,6,0
20231210,2,2,2,2,6,0
20231220,2,2,2,2,6,0
20231222,2,2,2,2,6,0
20231231,2,2,2,2,6,0
20230101,1,1,1,1,4,1
20230103,1,1,2,1,7,7
20230104,1,1,1,1,3,0
20230105,1,1,1,1,3,0
20230108,1,1,3,1,11,167
20230113,1,1,2,1,8,51
20230115,1,1,1,1,3,0
20230118,1,1,1,1,3,0
20230207,1,1,1,1,4,13
20230222,1,1,1,1,4,11
20230223,1,1,1,0,2,0
20230303,1,1,2,1,7,35
20230308,1,1,1,1,4,0
20230314,1,1,1,1,4,1
20230323,1,1,1,1,3,0
20230406,1,1,1,1,5,9
20230423,1,1,1,1,3,0
20230502,1,1,1,1,3,0
20230506,1,1,1,1,3,0
20230507,1,1,2,1,5,2
20230514,1,1,1,1,3,0
20230515,1,1,13,1,23,68
20230528,1,1,1,1,3,0
20230530,1,1,1,1,5,10
20230531,1,1,1,1,3,0
20230608,1,1,1,1,3,0
20230611,1,1,2,1,4,0
20230614,1,1,1,1,3,0
20230615,1,1,1,1,3,0
20230618,1,1,1,1,3,0
20230711,1,1,1,1,3,0
20230720,1,1,1,1,3,0
20230722,1,1,1,1,4,49
20230726,1,1,1,1,3,0
20230729,1,1,1,1,3,0
20230805,1,1,3,1,7,14
20230808,1,1,1,1,5,11
20230811,1,1,1,1,3,0
20230813,1,1,1,1,5,56
20230820,1,1,1,1,4,200
20230827,1,1,1,1,4,0
20230901,1,1,1,1,3,0
20230902,1,1,1,1,3,0
20230903,1,1,1,1,3,0
20230904,1,1,1,1,3,0
20230906,1,1,1,1,3,0
20230908,1,1,1,1,3,0
20230913,1,1,2,1,6,0
20230920,1,1,1,1,3,0
20230921,1,1,1,1,3,0
20230923,1,1,1,1,3,0
20230924,1,1,1,1,3,0
20230925,1,1,1,1,3,0
20230926,1,1,1,1,3,0
20230928,1,1,1,1,3,0
20231001,1,1,1,1,3,0
20231002,1,1,1,1,3,0
20231003,1,1,1,1,3,0
20231004,1,1,1,1,3,0
20231008,1,1,1,1,3,0
20231009,1,1,1,1,4,2
20231010,1,1,1,1,3,0
20231012,1,1,1,1,3,0
20231013,1,1,1,1,3,0
20231014,1,1,1,1,3,0
20231015,1,1,1,1,3,0
20231017,1,1,1,1,3,0
20231020,1,1,1,1,3,0
20231021,1,1,1,1,3,0
20231022,1,1,1,1,3,0
20231023,1,1,1,1,3,0
20231024,1,1,1,1,3,0
20231025,1,1,1,1,3,0
20231029,1,1,1,1,3,0
20231031,1,1,1,1,3,0
20231101,1,1,1,1,3,0
20231102,1,1,1,1,3,0
20231103,1,1,1,1,3,0
20231104,1,1,1,1,3,0
20231106,1,1,1,1,3,0
20231109,1,1,1,1,3,0
20231112,1,1,1,1,3,0
20231113,1,1,1,1,3,0
20231115,1,1,1,1,3,0
20231116,1,1,1,1,3,0
20231119,1,1,1,1,3,0
20231120,1,1,1,1,3,0
20231121,1,1,1,1,3,0
20231123,1,1,1,1,3,0
20231124,1,1,1,1,3,0
20231126,1,1,1,1,3,0
20231127,1,1,1,1,3,0
20231128,1,1,1,1,3,0
20231129,1,1,1,1,3,0
20231130,1,1,1,1,3,0
20231201,1,1,1,1,3,0
20231205,1,1,1,1,3,0
20231207,1,1,1,1,3,0
20231209,1,1,1,1,3,0
20231212,1,1,1,1,3,0
20231213,1,1,1,1,3,0
20231215,1,1,1,1,3,0
20231216,1,1,1,1,3,0
20231217,1,1,1,1,3,0
20231218,1,1,1,1,3,0
20231219,1,1,1,1,3,0
20231223,1,1,1,1,3,0
20231226,1,1,1,1,3,0
20231227,1,1,1,1,3,0
20231228,1,1,1,1,3,0
20231229,1,1,1,1,3,0
